Syllogism,Prediction
AA1,Aac
AA2,Aca
AA3,NVC
AA4,Aca
AI1,NVC
AI2,Ica
AI3,NVC
AI4,Ica
AE1,Eac
AE2,Eca
AE3,Eca
AE4,Eca
AO1,NVC
AO2,Oca
AO3,Oca
AO4,Oac
IA1,Ica
IA2,NVC
IA3,NVC
IA4,Ica
II1,NVC
II2,NVC
II3,NVC
II4,NVC
IE1,Oac
IE2,Oac
IE3,Oac
IE4,Oac
IO1,NVC
IO2,NVC
IO3,NVC
IO4,NVC
EA1,Eac
EA2,Eca
EA3,Eca
EA4,Eca
EI1,NVC
EI2,Oca
EI3,Oca
EI4,Oca
EE1,NVC
EE2,NVC
EE3,NVC
EE4,NVC
EO1,NVC
EO2,NVC
EO3,NVC
EO4,NVC
OA1,Oac
OA2,NVC
OA3,Oac
OA4,Oca
OI1,NVC
OI2,NVC
OI3,NVC
OI4,NVC
OE1,NVC
OE2,NVC
OE3,NVC
OE4,NVC
OO1,NVC
OO2,NVC
OO3,NVC
OO4,NVC
