,0,1,2,3,4,5
Basic1,0.78125,0.1875,0.453125,0.484375,0.25,0.09375
Abduction2,0.75,0.265625,0.546875,0.515625,0.28125,0.109375
Basic2,0.734375,0.234375,0.484375,0.4375,0.234375,0.09375
Abduction1,0.796875,0.25,0.515625,0.53125,0.328125,0.125
DelGen2,0.5,0.375,0.390625,0.546875,0.3125,0.125
DelGen1,0.546875,0.328125,0.375,0.609375,0.359375,0.140625
PSYCOP,0.75,0.25,0.53125,0.515625,0.3125,0.28125
Matching,0.359375,0.890625,0.484375,0.640625,0.734375,0.515625
VerbalModels,0.875,0.453125,0.75,0.75,0.546875,0.203125
Contra2,0.75,0.28125,0.453125,0.5,0.25,0.09375
Atmosphere1,0.25,0.296875,0.203125,0.421875,0.40625,0.328125
Contra1,0.796875,0.203125,0.46875,0.546875,0.234375,0.109375
MMT,1.0,0.859375,0.90625,1.0,0.765625,0.609375
Conversion,0.75,0.28125,0.578125,0.453125,0.28125,0.171875
PHM,0.359375,0.734375,0.34375,0.65625,0.78125,0.578125
Atmosphere2,0.15625,0.4375,0.1875,0.375,0.34375,0.09375
