,participant_correspondence,k_cluster_correspondence,total_correspondence
1,"{'k-cluster': 0, 'distance': 6, 'percentage match': 0.90625}","{'# Participants': 16, 'Mean Matching': 0.4365234375}",0.49376153962742503
2,"{'k-cluster': 2, 'distance': 33, 'percentage match': 0.484375}","{'# Participants': 15, 'Mean Matching': 0.45729166666666665}",0.49376153962742503
3,"{'k-cluster': 0, 'distance': 35, 'percentage match': 0.453125}","{'# Participants': 35, 'Mean Matching': 0.4959821428571428}",0.49376153962742503
4,"{'k-cluster': 1, 'distance': 31, 'percentage match': 0.515625}","{'# Participants': 15, 'Mean Matching': 0.453125}",0.49376153962742503
5,"{'k-cluster': 0, 'distance': 21, 'percentage match': 0.671875}","{'# Participants': 4, 'Mean Matching': 0.50390625}",0.49376153962742503
6,"{'k-cluster': 3, 'distance': 19, 'percentage match': 0.703125}",,0.49376153962742503
7,"{'k-cluster': 3, 'distance': 49, 'percentage match': 0.234375}",,0.49376153962742503
8,"{'k-cluster': 3, 'distance': 31, 'percentage match': 0.515625}",,0.49376153962742503
9,"{'k-cluster': 1, 'distance': 50, 'percentage match': 0.21875}",,0.49376153962742503
10,"{'k-cluster': 0, 'distance': 33, 'percentage match': 0.484375}",,0.49376153962742503
11,"{'k-cluster': 1, 'distance': 41, 'percentage match': 0.359375}",,0.49376153962742503
12,"{'k-cluster': 0, 'distance': 33, 'percentage match': 0.484375}",,0.49376153962742503
13,"{'k-cluster': 0, 'distance': 13, 'percentage match': 0.796875}",,0.49376153962742503
14,"{'k-cluster': 2, 'distance': 40, 'percentage match': 0.375}",,0.49376153962742503
15,"{'k-cluster': 2, 'distance': 49, 'percentage match': 0.234375}",,0.49376153962742503
16,"{'k-cluster': 2, 'distance': 15, 'percentage match': 0.765625}",,0.49376153962742503
17,"{'k-cluster': 0, 'distance': 20, 'percentage match': 0.6875}",,0.49376153962742503
18,"{'k-cluster': 3, 'distance': 23, 'percentage match': 0.640625}",,0.49376153962742503
