id,sequence,task,choices,response,response_type,domain,gender,age
1,0,Some;models;managers/All;models;clerks,All;managers;clerks|All;clerks;managers|Some;managers;clerks|Some;clerks;managers|Some not;managers;clerks|Some not;clerks;managers|No;managers;clerks|No;clerks;managers|NVC,Some;managers;clerks,single-choice,syllogistic,female,56
1,1,No;divers;carpenters/All;linguists;carpenters,All;divers;linguists|All;linguists;divers|Some;divers;linguists|Some;linguists;divers|Some not;divers;linguists|Some not;linguists;divers|No;divers;linguists|No;linguists;divers|NVC,No;divers;linguists,single-choice,syllogistic,female,56
1,2,All;therapists;climbers/Some;skaters;therapists,All;climbers;skaters|All;skaters;climbers|Some;climbers;skaters|Some;skaters;climbers|Some not;climbers;skaters|Some not;skaters;climbers|No;climbers;skaters|No;skaters;climbers|NVC,Some;skaters;climbers,single-choice,syllogistic,female,56
1,3,All;bankers;golfers/All;golfers;teachers,All;bankers;teachers|All;teachers;bankers|Some;bankers;teachers|Some;teachers;bankers|Some not;bankers;teachers|Some not;teachers;bankers|No;bankers;teachers|No;teachers;bankers|NVC,All;bankers;teachers,single-choice,syllogistic,female,56
1,4,Some not;boxers;opticians/All;boxers;actuaries,All;opticians;actuaries|All;actuaries;opticians|Some;opticians;actuaries|Some;actuaries;opticians|Some not;opticians;actuaries|Some not;actuaries;opticians|No;opticians;actuaries|No;actuaries;opticians|NVC,Some not;actuaries;opticians,single-choice,syllogistic,female,56
1,5,Some;chemists;sailors/Some not;potters;chemists,All;sailors;potters|All;potters;sailors|Some;sailors;potters|Some;potters;sailors|Some not;sailors;potters|Some not;potters;sailors|No;sailors;potters|No;potters;sailors|NVC,NVC,single-choice,syllogistic,female,56
1,6,All;gamblers;sculptors/Some not;bakers;sculptors,All;gamblers;bakers|All;bakers;gamblers|Some;gamblers;bakers|Some;bakers;gamblers|Some not;gamblers;bakers|Some not;bakers;gamblers|No;gamblers;bakers|No;bakers;gamblers|NVC,Some not;bakers;gamblers,single-choice,syllogistic,female,56
1,7,Some;miners;poets/All;skaters;miners,All;poets;skaters|All;skaters;poets|Some;poets;skaters|Some;skaters;poets|Some not;poets;skaters|Some not;skaters;poets|No;poets;skaters|No;skaters;poets|NVC,Some;skaters;poets,single-choice,syllogistic,female,56
1,8,All;investors;barbers/No;jugglers;barbers,All;investors;jugglers|All;jugglers;investors|Some;investors;jugglers|Some;jugglers;investors|Some not;investors;jugglers|Some not;jugglers;investors|No;investors;jugglers|No;jugglers;investors|NVC,No;investors;jugglers,single-choice,syllogistic,female,56
1,9,No;writers;hikers/Some;drivers;hikers,All;writers;drivers|All;drivers;writers|Some;writers;drivers|Some;drivers;writers|Some not;writers;drivers|Some not;drivers;writers|No;writers;drivers|No;drivers;writers|NVC,Some not;drivers;writers,single-choice,syllogistic,female,56
1,10,No;cleaners;painters/Some;auditors;cleaners,All;painters;auditors|All;auditors;painters|Some;painters;auditors|Some;auditors;painters|Some not;painters;auditors|Some not;auditors;painters|No;painters;auditors|No;auditors;painters|NVC,Some not;auditors;painters,single-choice,syllogistic,female,56
1,11,No;lifeguards;dentists/Some not;lifeguards;plumbers,All;dentists;plumbers|All;plumbers;dentists|Some;dentists;plumbers|Some;plumbers;dentists|Some not;dentists;plumbers|Some not;plumbers;dentists|No;dentists;plumbers|No;plumbers;dentists|NVC,NVC,single-choice,syllogistic,female,56
1,12,No;assistants;farmers/No;farmers;scholars,All;assistants;scholars|All;scholars;assistants|Some;assistants;scholars|Some;scholars;assistants|Some not;assistants;scholars|Some not;scholars;assistants|No;assistants;scholars|No;scholars;assistants|NVC,NVC,single-choice,syllogistic,female,56
1,13,No;drillers;actors/All;actors;nurses,All;drillers;nurses|All;nurses;drillers|Some;drillers;nurses|Some;nurses;drillers|Some not;drillers;nurses|Some not;nurses;drillers|No;drillers;nurses|No;nurses;drillers|NVC,No;drillers;nurses,single-choice,syllogistic,female,56
1,14,Some not;pilots;singers/Some not;singers;tailors,All;pilots;tailors|All;tailors;pilots|Some;pilots;tailors|Some;tailors;pilots|Some not;pilots;tailors|Some not;tailors;pilots|No;pilots;tailors|No;tailors;pilots|NVC,NVC,single-choice,syllogistic,female,56
